Company,Parent Company,Location,City,County,Address,Zip,Project Description,NAICS Industry Code,Year,Subsidy Value,Megadeal Contribution,Subsidy Value Adjusted For Megadeal,Program Name,Awarding Agency,Type of Subsidy,Number of Jobs or Training Slots,Wage Data,Wage Data Type,Investment Data,Source of Data,Notes,Subsidy Source,CFDA Program Number,Loan Value,State in Which Facility Is Located,Major Industry of Parent
Syracuse Rail Support/OnTrack,,New York,SYRACUSE,,Railroad,13202,Railway project from Carousel Mall to Syracuse University.,,2013,"$416,582 ",$0 ,"$416,582 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
WILSU Project,,New York,SYRACUSE,,401 Comstock Avenue,13210,,,2011,"$416,332 ",$0 ,"$416,332 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
WILSU Project,,New York,SYRACUSE,,NULL,13210,Salary dollar information not accumulated on this project. Project was still under construction as of 12/31/2009.,,2013,"$410,959 ",$0 ,"$410,959 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
WILSU Project,,New York,SYRACUSE,,401 Comstock Avenue,13210,"Finance, Insurance and Real Estate",,2014,"$404,584 ",$0 ,"$404,584 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
300 Block LLC (Pike Block),,New York,SYRACUSE,,Pike Block (See notes for addresses),13202,"Acquisition and renovations of four building collectively known as the ""Pike Block,"" consisting of the  former Wilson, Bond, Witherill and Chamberlin buildings located at the corner of South Salina and West Fayette Streets.  At completion the project will include approximately 83 one, two and three bedrooom residential units and and estimated 25,765 sq ft of commercial space. Building and lands parcels include 115 West Fayette St, 300 S. Salina St, 306312 S. Salina St, and 320324 S Salina St.",,2013,"$397,951 ",$0 ,"$397,951 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
300 Block LLC (Pike Block),,New York,SYRACUSE,,Pike Block (See notes for addresses),13202,Other Categories,,2014,"$397,951 ",$0 ,"$397,951 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Washington/Walton Project,,New York,SYRACUSE,,200 South Franklin St,13202,,,2011,"$382,870 ",$0 ,"$382,870 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Washington/Walton Project,,New York,SYRACUSE,,200 South Franklin St,13202,Salary dollar information was not accumulated on this project. Project is still under construction on 12/31/2009.,,2009,"$382,606 ",$0 ,"$382,606 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,1,,,"$25,055,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
Washington/Walton Project,,New York,SYRACUSE,,200 South Franklin St,13202,"Finance, Insurance and Real Estate",,2014,"$380,940 ",$0 ,"$380,940 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Washington/Walton Project,,New York,SYRACUSE,,NULL,13202,Salary dollar information was not accumulated on this project. Project is still under construction on 12/31/2009.,,2013,"$377,929 ",$0 ,"$377,929 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
"EDR Syracuse, LLC",,New York,SYRACUSE,,East Colvin and Slocum Drive,13244,Civic Facility,,2014,"$373,272 ",$0 ,"$373,272 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
300 Block LLC (Pike Block),,New York,SYRACUSE,,Pike Block (See notes for addresses),13202,"Acquisition and renovations of four building collectively known as the ""Pike Block,"" consisting of the  former Wilson, Bond, Witherill and Chamberlin buildings located at the corner of South Salina and West Fayette Streets.  At completion the project will include approximately 83 one, two and three bedrooom residential units and and estimated 25,765 sq ft of commercial space. Building and lands parcels include 115 West Fayette St, 300 S. Salina St, 306312 S. Salina St, and 320324 S Salina St.",,2012,"$367,754 ",$0 ,"$367,754 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 15; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
"Auburn Real Estate Company, Inc. and Auburn Community Hotel LP",,New York,SYRACUSE,,250 Clinton Street,13202,Services,,2014,"$362,677 ",$0 ,"$362,677 ",Industrial Development Agencies,Auburn Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
"EDR Syracuse, LLC",,New York,Syracuse,,,,,,2008,"$343,000 ",$0 ,"$343,000 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,9,,,"$24,197,954 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
Southern Wine & Spirits,Southern Wine & Spirits,New York,SYRACUSE,,3063 Court Street,13208,Wholesale Trade,,2014,"$342,396 ",$0 ,"$342,396 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," ""wholesalers"""
Continental Towers Facility,,New York,SYRACUSE,,"Towers Associates, LR, LTD",13202,Renovation of major office building to upgrade space. Salary information not gathered on this project.,,2009,"$331,708 ",$0 ,"$331,708 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,"$35,250,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
James St. Apartments LLC,,New York,SYRACUSE,,"615 James St., and 622 James St",13202,"Commonly known as the Leavenworth and Kasson Apartments, located at 615 and 622 James St.  Conifer Realty, LLC the sole member of James St Apartments LLC, will redevelop the vacant buildings into 82 residential units, 80 will be market rate while the remaining 20 will be available to households with no more than 50 of the area median income.  Agency benefits to be sales tax exemption and real property tax exemption through a PILOT agreement.  No salary data was provided by the project owner.",,2013,"$331,705 ",$0 ,"$331,705 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Prospect Hill Homes Project,,New York,SYRACUSE,,1201 E Fayette Stret,13210,Various Addresses. Salary dollar information not accumulated on this project. Project was under construction at the end of 2009.,,2010,"$331,032 ",$0 ,"$331,032 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
JEWISH HOME OF CNY RESIDENTIAL LIVING,,New York,SYRACUSE,Onondaga,4101 E GENESEE ST,13214,,,2006,"$330,000 ",$0 ,"$330,000 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,42,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Prospect Hill Homes Project,,New York,SYRACUSE,,1201 E Fayette Stret,13210,Salary dollar information not accumulated on this project. Project was under construction at the end of 2009.,,2009,"$323,561 ",$0 ,"$323,561 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,0,,,"$13,937,943 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
Continental Towers Facility,,New York,SYRACUSE,,1 Lincoln center,13202,Renovation of major office building to upgrade space. Salary information not gathered on this project.,,2011,"$315,358 ",$0 ,"$315,358 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
